,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21
video_stop_sum,0.118119359372,-0.108245249227,0.307960477758,0.079087138926,0.172586866844,-0.058601315072,0.0479698897009,0.0729398164764,0.0423896096331,-0.0396064913399,0.034218422664,-0.0747005457073,-0.244060692374,-0.192295426209,0.107804190439,-0.148282269032,-0.00774308028403,-0.041645287101,0.0490313614119,0.0258063609257,0.174645335943
video_stop_avg,0.0911619656624,-0.0739263453752,0.364366458749,0.128619173658,-0.0437634569834,0.0796254122013,0.235849332491,0.0210071646766,0.0953994219391,0.0193206861938,-0.0081510594309,-0.238316989023,-0.0976447491512,0.114831464864,-0.142330224312,0.212985169602,0.00818605161887,-0.0624148431104,-0.0512405967342,-0.0744628178094,-0.126934873551
video_play_sum,0.174028010939,0.123883980112,-0.039833356938,-0.0428176201945,0.118335109413,0.00808166280666,-0.017069302592,0.0395505484405,0.0368223928155,-0.0153664730109,-0.0566868535695,-0.0378063289539,0.0522111525709,0.0240535742682,-0.0497981379453,0.00459154786619,-0.0838537306609,-0.0204805015473,-0.0754206057272,-0.0166087181163,-0.0341621182395
video_play_avg,0.168064221043,0.148018659431,-0.0325328846066,0.0269612782219,-0.136605705404,0.0796852971708,0.0470397959688,-0.0521785033495,-0.0691319775897,0.0219698918471,0.0121512690801,0.00808461237558,-0.109926782422,-0.0675802264428,0.0533443166211,-0.0132232805034,0.0642729324987,0.00311631057759,0.0887396054337,0.017253147075,-0.0319880733648
video_events_sum,0.17418174672,0.128859116244,-0.0412283213039,0.0138929789381,0.109965562496,-0.0148075377945,-0.034117158383,0.0308108156153,0.0366291458194,-0.00407332907114,-0.0577821300604,-0.0232423568761,0.0529128936114,0.0327496476251,-0.0441355878217,0.0150968481919,-0.0918751100948,-0.0245004307328,-0.0963349659462,-0.018484210457,-0.0401890876759
video_events_avg,0.166140628793,0.152899968499,-0.0300200074274,0.0860358015056,-0.138047136198,0.0482898236676,0.0307807003046,-0.0462396209111,-0.0678179794585,0.0253055729126,-0.0152855954711,0.0255465134389,-0.114495476289,-0.0435471334114,0.0562055104741,-0.0048099004691,0.0365152488428,-0.00195531454781,0.101373170745,0.0322676090398,-0.00955016025974
mt_practice_sum,0.108980963324,-0.256514274694,-0.227182397092,0.11500183942,0.0665723358722,0.167424083134,0.0839160759951,0.0130691510156,0.115033610021,-0.0535585533934,-0.0801927554379,0.0559648415207,-0.0661104067042,-0.0262278659497,-0.016917362218,0.0367817556714,0.0827417214951,-0.130395926388,-0.00618332408564,-0.0204431669866,0.0833360071681
mt_unit_sum,0.108980963324,-0.256514274694,-0.227182397092,0.11500183942,0.0665723358722,0.167424083134,0.0839160759951,0.0130691510156,0.115033610021,-0.0535585533934,-0.0801927554379,0.0559648415207,-0.0661104067042,-0.0262278659497,-0.016917362218,0.0367817556714,0.0827417214951,-0.130395926388,-0.00618332408564,-0.0204431669866,0.0833360071681
mt_online_num_day,0.103693921452,-0.230730919218,-0.217458692202,0.147276845688,0.0311881068164,0.188958392558,0.0516828452675,0.0176850876792,0.0884048315174,-0.0828685976097,-0.0829714341155,0.0496124638087,-0.0153155196288,-0.0344625040661,-0.0605314691072,0.0160145572039,-0.0182883917219,0.415533934535,-0.162142974512,0.0733360584986,-0.318634754049
mt_online_practice_num_day,0.108980963324,-0.256514274694,-0.227182397092,0.11500183942,0.0665723358722,0.167424083134,0.0839160759951,0.0130691510156,0.115033610021,-0.0535585533934,-0.0801927554379,0.0559648415207,-0.0661104067042,-0.0262278659497,-0.016917362218,0.0367817556714,0.0827417214951,-0.130395926388,-0.00618332408564,-0.0204431669866,0.0833360071681
hw_mean,0.110044952218,-0.244141882779,-0.217112932699,0.134492543959,0.0756801221764,0.124732835719,0.12694915954,-0.0131449820087,0.0475247769537,0.00268321392974,8.71562805524e-05,-0.0156373954005,-0.0235582583677,-0.0317315640261,0.0269463126853,-0.0692239626952,-0.0831173862892,-0.0684199471043,0.176209483721,-0.00283517155001,0.0428047541511
qz_mean,0.112145758774,-0.142499361985,-0.144922967657,0.072717253402,-0.0586172798555,-0.040899174653,0.092177822993,0.0848794971205,-0.0883127909097,-0.0732471424788,0.37507146702,-0.464439095976,0.13925024628,0.378552102475,0.524777733589,-0.14419980226,-0.230372341307,0.0367239775939,0.0754372868091,0.0322992247109,-0.0408589926611
Regression P>|t|,0.0,0.0,0.0,0.0,0.02,0.088,0.0,0.003,0.31,0.167,0.0,0.0,0.237,0.0,0.0,0.003,0.01,0.464,0.001,0.941,0.013
